mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3845901489257812,0.10807102516291686,0.2129612922668457,0.02621496165504554,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,30000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8507090265834858,0.8630989222211665,0.862682828086519,0.8602184036949815,0.8522070926410654,0.8577832546454436,0.005278832786615047,21
1.245902919769287,0.11581991276003441,0.21159677505493163,0.014653515050123267,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,40000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8507090265834858,0.8630989222211665,0.862682828086519,0.8602184036949815,0.8522070926410654,0.8577832546454436,0.005278832786615047,21
1.3601855278015136,0.08045877532307869,0.20636587142944335,0.021001605303674096,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,40000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8507090265834858,0.8630989222211665,0.862682828086519,0.8602184036949815,0.8522070926410654,0.8577832546454436,0.005278832786615047,21
1.367055606842041,0.09989160658853113,0.2373027801513672,0.023099195720078854,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,30000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8507090265834858,0.8630989222211665,0.862682828086519,0.8602184036949815,0.8522070926410654,0.8577832546454436,0.005278832786615047,21
1.446809720993042,0.039325897982583596,0.21115097999572754,0.017879539168282912,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,30000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8475721563495333,0.8640566510146797,0.8644337969098421,0.8590193492402515,0.8509525506405735,0.8572069008309761,0.0068465651428587454,25
1.3376412868499756,0.09518587288830231,0.20296797752380372,0.015931801154960235,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,40000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8475721563495333,0.8640566510146797,0.8644337969098421,0.8590193492402515,0.8509525506405735,0.8572069008309761,0.0068465651428587454,25
1.329427146911621,0.12787824970010714,0.2143172264099121,0.008904538234667013,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,40000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8475721563495333,0.8640566510146797,0.8644337969098421,0.8590193492402515,0.8509525506405735,0.8572069008309761,0.0068465651428587454,25
1.2760886192321776,0.18473996771903353,0.2041306495666504,0.018592150987181758,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,30000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8475721563495333,0.8640566510146797,0.8644337969098421,0.8590193492402515,0.8509525506405735,0.8572069008309761,0.0068465651428587454,25
1.5308704376220703,0.12729557365388014,0.22042608261108398,0.021294770674517932,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.9,30000,2,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8527394778521963,0.8574689338807744,0.859944054209044,0.8586844120233966,0.8570669934688956,0.8571807742868612,0.0024379392288463716,29
1.514314842224121,0.1520091891030729,0.2656257152557373,0.019013648809005426,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.9,40000,2,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8527394778521963,0.8574689338807744,0.859944054209044,0.8586844120233966,0.8570669934688956,0.8571807742868612,0.0024379392288463716,29
1.4220407009124756,0.0892249919363198,0.22497906684875488,0.026952647644953167,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.95,40000,2,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8527394778521963,0.8574689338807744,0.859944054209044,0.8586844120233966,0.8570669934688956,0.8571807742868612,0.0024379392288463716,29
